,reviews,stemmed_reviews
0,congratulations to our beloved hakeemsubair and team,congratul belov hakeemsubair team
1,congratulations to million teachers well deserved ,congratul million teacher well deserv 
2,congratulations sir ,congratul sir 
3,congratulations ,congratul 
4,congratulations,congratul
5,congratulations to million teachers well deserved award,congratul million teacher well deserv award
6,well deserved ,well deserv 
7,keep soaring mt hakeem subair keep blazing the trail sir,keep soar mt hakeem subair keep blaze trail sir
8,congratulations to million teachers ,congratul million teacher 
9,congratulations sir,congratul sir
10,keep up the good work ,keep good work 
11,great partnership,great partnership
12,awesome,awesom
13,yay rizma farooq waheed butt ,yay rizma farooq wahe butt 
14,could you help me to educat my student,could help educat student
15,wow keep up the great work ,wow keep great work 
16,is this for teachers who are employed or even those who are unemployed ,teacher employ even unemploy 
17,absolutely amazing indeed ,absolut amaz inde 
18,you go girls well done,go girl well done
19,the qltc is doing it how do we assist ,qltc assist 
20,teach them the truth about history mandela was a vile terrorist ,teach truth histori mandela vile terrorist 
21,image conn cerne,imag conn cern
22,molweni ngophakati ndinethemba loba call whatsapp nisaphila igama ndingu zinhle wakwa sibhiya ndihlala emphumulo ndicela ukuqala ngokunibalisela ngebali elincinci into eyenzeka empilweni yam ndashiywa ngabazali ndakhuliswa ngu makhulu ndinabantwana ababini awokuqala utata wakhe wabaleka esesesi swini ndafumana mfokazi othile ndaqhuba naye impilo ndamitha u mntana wesibini kwabamnandi uthe emvakwe nyanga ezimbini zatshintsha izinto naye wabeleka ndaphila nge mali yabantwana child support grant ngenye mini ndithe ndiyo rhola grant yabantwana bam beku ngomhla ka may ndafumana iphephe elali lahliwe sowetan ndabona kukhona ntombazane ethile egama lingu ntombizanele wakwa ngozi ebonga utata baba ngendle amnceda ngayo ngemali eyangena kwi account yakhe kweliphepha kwaku ne nmbr yakhe lo baba nam ndayithatha le nmbr ngb ndandi xakekile ndifuna uncedo ndayi fonela sathetha ngesasithetha ngako wabuza uba imali ndifuna ingene endlini na noba kwi account yam sa vumelana ngesavumelana ngako wathi uzodinga imali yasinkhanyiso ndamthumela imali yabantwana bami ye grant ndizixelela uba udlala ngami wathi ndilinde ixesha elingango hours minutes ndazixelela uba uya dlala ndandizama nje intlahla emva kwe hrs yangena message yemali r million kwayena wafuna nje percent walemali emvakoko yaqala yatshintsha mpilo yam ndinayo yonke into siphila kamnandi ne ntsana zam andin amona uba uyayidinga i nmbr yakhe uyafumaneka ku call or whatsapp ,molweni ngophakati ndinethemba loba call whatsapp nisaphila igama ndingu zinhl wakwa sibhiya ndihlala emphumulo ndicela ukuqala ngokunibalisela ngebali elincinci eyenzeka empilweni yam ndashiywa ngabazali ndakhuliswa ngu makhulu ndinabantwana ababini awokuqala utata wakh wabaleka esesesi swini ndafumana mfokazi othil ndaqhuba nay impilo ndamitha u mntana wesibini kwabamnandi uth emvakw nyanga ezimbini zatshintsha izinto nay wabeleka ndaphila nge mali yabantwana child support grant ngeny mini ndith ndiyo rhola grant yabantwana bam beku ngomhla ka may ndafumana ipheph elali lahliw sowetan ndabona kukhona ntombazan ethil egama lingu ntombizanel wakwa ngozi ebonga utata baba ngendl amnceda ngayo ngemali eyangena kwi account yakh kweliphepha kwaku ne nmbr yakh lo baba nam ndayithatha le nmbr ngb ndandi xakekil ndifuna uncedo ndayi fonela sathetha ngesasithetha ngako wabuza uba imali ndifuna ingen endlini na noba kwi account yam sa vumelana ngesavumelana ngako wathi uzodinga imali yasinkhanyiso ndamthumela imali yabantwana bami ye grant ndizixelela uba udlala ngami wathi ndilind ixesha elingango hour minut ndazixelela uba uya dlala ndandizama nje intlahla emva kwe hr yangena messag yemali r million kwayena wafuna nje percent walemali emvakoko yaqala yatshintsha mpilo yam ndinayo yonk siphila kamnandi ne ntsana zam andin amona uba uyayidinga nmbr yakh uyafumaneka ku call whatsapp 
23,molweni zihlobo zam igama lam ndingu lindelwa ndihlala etakastad be ndingumntu osebenza emizini yabantu emonti ndisebenzela ukuba kubekho into yokutya ekhaya nokuba abantwana bam banxibe bafane nabanye abantwana kuthe ngenye imini kukusasa ndiphindela emsebenzini ndeva omnye utata encokola nomfana wayehleli ecaleni kwakhe ndamamela ke ncoko leyo eyayimalunga nokutshintsha kwemeko lo tata ebekuyo nangendlela afumene ngalo uncedo ndiye ndanomdla nam ndacela inumber yalo tata athetha ngaye kamnandi owathi wamnceda ndiye ndazama ukumfounela lo tata ukufika kwam ekapa ndamchazela ingxaki yam ngoba mna ndandinomnqweno wokuba mhla ndasebenza noko kuyakuze kungafani nangexesha bendihleli ekhaya lam liyakuze liphucuke emveni kokuba ndithethile naye la tata ubaba unangu uye wandixelela indlela asebenza ngayo ndiye ndamcela ke ukuba andilinde kude kuphele inyanga ndizokwazi ukukhupha umkhanyiso ukuze azoqala ukundilungiselela kuba ndandifuna imali ekhawulezayo khange kuphele even minshours yangena imali kwi absa account yam zange ndikholwe ngoba kaloku baninzi besixokisa babe bengenzi kwalonto ndamfounela ke ndimkhangela ukuba kwenzekile nyani na yaye ndingahamba ndiyoyikhupha la mali na wathi ewe yimali yam leyo zange ndiphindele kwakwelo kitshi ndayothatha imali yam ndabhatala utata unangu isiqingatha esasivumelene ngaso tjoo yemka indlala ekhaya ndokha ekhaya lam ndithetha nani nje ndimnqwenelela okuhle kodwa lo tata kunye nala tata wayengazange abe nomona ngendlela afumene ngalo uncedo yanga uthixo angabagcina abasikelele ngoba ngoku ndine zam iibusiness nantsi inumber yake umntu omdingayo call whatsapp baba unangu,molweni zihlobo zam igama lam ndingu lindelwa ndihlala etakastad ndingumntu osebenza emizini yabantu emonti ndisebenzela ukuba kubekho yokutya ekhaya nokuba abantwana bam banxib bafan nabany abantwana kuth ngeny imini kukusasa ndiphindela emsebenzini ndeva omny utata encokola nomfana wayehl ecaleni kwakh ndamamela ke ncoko leyo eyayimalunga nokutshintsha kwemeko lo tata ebekuyo nangendlela afumen ngalo uncedo ndiy ndanomdla nam ndacela inumb yalo tata athetha ngay kamnandi owathi wamnceda ndiy ndazama ukumfounela lo tata ukufika kwam ekapa ndamchazela ingxaki yam ngoba mna ndandinomnqweno wokuba mhla ndasebenza noko kuyakuz kungafani nangexesha bendihl ekhaya lam liyakuz liphucuk emveni kokuba ndithethil nay la tata ubaba unangu uye wandixelela indlela asebenza ngayo ndiy ndamcela ke ukuba andilind kude kuphel inyanga ndizokwazi ukukhupha umkhanyiso ukuz azoqala ukundilungiselela kuba ndandifuna imali ekhawulezayo khang kuphel even minshour yangena imali kwi absa account yam zang ndikholw ngoba kaloku baninzi besixokisa babe bengenzi kwalonto ndamfounela ke ndimkhangela ukuba kwenzekil nyani na yay ndingahamba ndiyoyikhupha la mali na wathi ewe yimali yam leyo zang ndiphindel kwakwelo kitshi ndayothatha imali yam ndabhatala utata unangu isiqingatha esasivumelen ngaso tjoo yemka indlala ekhaya ndokha ekhaya lam ndithetha nani nje ndimnqwenelela okuhl kodwa lo tata kuny nala tata wayengazang abe nomona ngendlela afumen ngalo uncedo yanga uthixo angabagcina abasikelel ngoba ngoku ndine zam iibusi nantsi inumb yake umntu omdingayo call whatsapp baba unangu
24,make known re olve complete ly developp re olve complete ly not farce pharacy conn cog boa t ba tard re olve e co logy thrive ea e each,make known olv complet ly developp olv complet ly farc pharaci conn cog boa ba tard olv e co logi thrive ea e
25,creation re creation re olve complete ly,creation creation olv complet ly
