,labels,reviews_no_names,stemmed_reviews
0,Cluster 1,welcome board,welcom board
1,Cluster 1,welcome board,welcom board
2,Cluster 1,welcome,welcom
3,Cluster 1,please welcome board kingdom,pleas welcom board kingdom
4,Cluster 1,welcome,welcom
5,Cluster 1,welcome board,welcom board
6,Cluster 1,please welcome idris,pleas welcom idri
7,Cluster 1,welcome board,welcom board
8,Cluster 1,welcome board morayo,welcom board morayo
9,Cluster 1,welcome brother,welcom brother
10,Cluster 1,welcome board,welcom board
11,Cluster 1,warmly welcomed,warmli welcom
12,Cluster 1,welcome board esther,welcom board esther
13,Cluster 1,warmly welcomed,warmli welcom
14,Cluster 1,welcome,welcom
15,Cluster 1,welcome board jeffery,welcom board jefferi
16,Cluster 1,welcome,welcom
17,Cluster 1,welcome board,welcom board
18,Cluster 1,welcome,welcom
19,Cluster 1,welcome board,welcom board
20,Cluster 1,congratulations welcome group,congratul welcom group
21,Cluster 1,welcome board,welcom board
22,Cluster 1,welcome board,welcom board
23,Cluster 1,ultimately welcomed board,ultim welcom board
24,Cluster 1,welcome,welcom
25,Cluster 1,please welcome mrs akinduboye board,pleas welcom mr akinduboy board
26,Cluster 1,welcome,welcom
27,Cluster 1,welcome board,welcom board
28,Cluster 1,welcome,welcom
29,Cluster 1,welcome board,welcom board
30,Cluster 1,welcome board,welcom board
31,Cluster 1,welcome family,welcom famili
32,Cluster 1,welcome,welcom
33,Cluster 1,welcome,welcom
34,Cluster 1,welcome,welcom
35,Cluster 1,please welcome anas,pleas welcom ana
36,Cluster 1,welcome board,welcom board
37,Cluster 1,welcome welcome,welcom welcom
38,Cluster 1,welcome academy,welcom academi
39,Cluster 1,welcome,welcom
40,Cluster 1,welcome,welcom
41,Cluster 1,welcome board halima,welcom board halima
42,Cluster 1,welcome board,welcom board
43,Cluster 1,welcomed,welcom
44,Cluster 1,welcome board academy,welcom board academi
45,Cluster 1,welcome,welcom
46,Cluster 1,welcome board,welcom board
47,Cluster 1,welcomed board,welcom board
48,Cluster 1,warmly welcomed,warmli welcom
49,Cluster 1,welcome,welcom
50,Cluster 1,fantastic welcome,fantast welcom
51,Cluster 1,welcome,welcom
52,Cluster 1,welcome board,welcom board
53,Cluster 1,ultimately welcomed sir,ultim welcom sir
54,Cluster 1,welcome,welcom
55,Cluster 1,highly welcome,highli welcom
56,Cluster 1,welcome board,welcom board
57,Cluster 1,welcome,welcom
58,Cluster 1,welcome board victoria,welcom board victoria
59,Cluster 1,welcome board latifat,welcom board latifat
60,Cluster 1,welcome board,welcom board
61,Cluster 1,welcome,welcom
62,Cluster 1,please welcome academy group,pleas welcom academi group
63,Cluster 1,welcome,welcom
64,Cluster 1,great wonderful welcome,great wonder welcom
65,Cluster 1,welcome board hussainah,welcom board hussainah
66,Cluster 1,welcome,welcom
67,Cluster 1,welcome board harry,welcom board harri
68,Cluster 1,highly welcomed,highli welcom
69,Cluster 1,welcome,welcom
70,Cluster 1,welcome board,welcom board
71,Cluster 1,welcome,welcom
72,Cluster 1,highly welcomed,highli welcom
73,Cluster 1,welcome,welcom
74,Cluster 1,welcome board ann,welcom board ann
75,Cluster 1,welcome ann pleasure board,welcom ann pleasur board
76,Cluster 1,welcome ann,welcom ann
77,Cluster 1,welcome ann good board,welcom ann good board
78,Cluster 1,highly welcomed,highli welcom
79,Cluster 1,welcome,welcom
80,Cluster 1,welcome ann,welcom ann
81,Cluster 1,welcome,welcom
82,Cluster 1,welcome,welcom
83,Cluster 1,welcome board alice,welcom board alic
84,Cluster 1,welcome school,welcom school
85,Cluster 1,welcome board,welcom board
86,Cluster 1,welcome board gift,welcom board gift
87,Cluster 1,welcome,welcom
88,Cluster 1,welcome,welcom
89,Cluster 1,highly welcomed,highli welcom
90,Cluster 1,welcome board,welcom board
91,Cluster 1,welcome teacher,welcom teacher
92,Cluster 1,highly welcome,highli welcom
93,Cluster 1,welcome,welcom
94,Cluster 1,welcome,welcom
95,Cluster 1,welcome board,welcom board
96,Cluster 1,welcome group,welcom group
97,Cluster 1,welcome board david,welcom board david
98,Cluster 1,welcome board,welcom board
99,Cluster 1,welcome board samuel,welcom board samuel
100,Cluster 1,welcome,welcom
101,Cluster 1,welcome,welcom
102,Cluster 1,welcome,welcom
103,Cluster 1,welcome,welcom
104,Cluster 1,welcome,welcom
105,Cluster 1,welcome board esther,welcom board esther
106,Cluster 1,welcome,welcom
107,Cluster 1,welcome board joseph,welcom board joseph
108,Cluster 1,welcome,welcom
109,Cluster 1,welcome rita,welcom rita
110,Cluster 1,greatly welcome,greatli welcom
111,Cluster 1,highly welcome good,highli welcom good
112,Cluster 1,welcome,welcom
113,Cluster 1,welcome,welcom
114,Cluster 1,welcome board felix,welcom board felix
115,Cluster 1,welcome,welcom
116,Cluster 1,welcome felix,welcom felix
117,Cluster 1,welcome,welcom
118,Cluster 1,welcome,welcom
119,Cluster 1,well done welcome,well done welcom
120,Cluster 1,welcome board,welcom board
121,Cluster 1,welcome board gloria,welcom board gloria
122,Cluster 1,welcome board,welcom board
123,Cluster 1,welcome,welcom
124,Cluster 1,kindly welcome,kindli welcom
125,Cluster 1,welcome board,welcom board
126,Cluster 1,let welcome ismail welcome,let welcom ismail welcom
127,Cluster 1,welcome board ismail,welcom board ismail
128,Cluster 1,welcome,welcom
129,Cluster 1,welcome ismail,welcom ismail
130,Cluster 1,welcome ismail,welcom ismail
131,Cluster 1,welcome,welcom
132,Cluster 1,welcome board,welcom board
133,Cluster 1,welcome board grace,welcom board grace
134,Cluster 1,welcome board,welcom board
135,Cluster 1,welcome amarachi,welcom amarachi
136,Cluster 1,welcome board amarachi,welcom board amarachi
137,Cluster 1,welcome,welcom
138,Cluster 1,welcome,welcom
139,Cluster 1,welcome board new blackbelts state,welcom board new blackbelt state
140,Cluster 1,welcome board ahmed,welcom board ahm
141,Cluster 1,welcome board samiat,welcom board samiat
142,Cluster 1,welcome,welcom
143,Cluster 1,welcome board,welcom board
144,Cluster 1,welcome vincent,welcom vincent
145,Cluster 1,welcome,welcom
146,Cluster 1,welcome board,welcom board
147,Cluster 1,vincent welcome,vincent welcom
148,Cluster 1,welcome board luis,welcom board lui
149,Cluster 1,welcome,welcom
150,Cluster 1,welcome board,welcom board
151,Cluster 1,welcome board,welcom board
152,Cluster 1,congratulations lydia welcome higher level learning felicidades,congratul lydia welcom higher level learn felicidad
153,Cluster 1,welcome,welcom
154,Cluster 1,welcome board,welcom board
155,Cluster 1,welcome board latifa,welcom board latifa
156,Cluster 1,welcome,welcom
157,Cluster 1,welcome family,welcom famili
158,Cluster 1,please welcome family,pleas welcom famili
159,Cluster 1,welcome board,welcom board
160,Cluster 1,welcome board mrs esther,welcom board mr esther
161,Cluster 1,welcome board,welcom board
162,Cluster 1,welcome,welcom
163,Cluster 1,welcome board,welcom board
164,Cluster 1,welcome,welcom
165,Cluster 1,welcome,welcom
166,Cluster 1,welcome board,welcom board
167,Cluster 1,welcome board,welcom board
168,Cluster 1,welcome board peace lungile,welcom board peac lungil
169,Cluster 1,welcome group,welcom group
170,Cluster 1,welcome board,welcom board
171,Cluster 1,welcome board peace lungile,welcom board peac lungil
172,Cluster 1,welcome board,welcom board
173,Cluster 1,welcome board,welcom board
174,Cluster 1,welcome,welcom
175,Cluster 1,higher welcome,higher welcom
176,Cluster 1,welcome board,welcom board
177,Cluster 1,welcome board,welcom board
178,Cluster 1,welcome,welcom
179,Cluster 1,welcome board,welcom board
180,Cluster 1,welcome board samuel,welcom board samuel
181,Cluster 1,welcome,welcom
182,Cluster 1,welcome madam,welcom madam
183,Cluster 1,welcome board titilayo,welcom board titilayo
184,Cluster 1,welcome board,welcom board
185,Cluster 1,welcome board samuel,welcom board samuel
186,Cluster 1,welcome board kenneth,welcom board kenneth
187,Cluster 1,welcome,welcom
188,Cluster 1,welcome,welcom
189,Cluster 1,welcome board,welcom board
190,Cluster 1,welcome board titilayo,welcom board titilayo
191,Cluster 1,please welcome sokoto,pleas welcom sokoto
192,Cluster 1,welcome,welcom
193,Cluster 1,dear babs heartily welcome group achievement really proof tenacity towards lifelong learning congratulations,dear bab heartili welcom group achiev realli proof tenac toward lifelong learn congratul
194,Cluster 1,welcome,welcom
195,Cluster 1,welcome board,welcom board
196,Cluster 1,welcome,welcom
197,Cluster 1,highly welcome,highli welcom
198,Cluster 1,welcome board,welcom board
199,Cluster 1,welcome,welcom
200,Cluster 1,welcome,welcom
201,Cluster 1,welcome board,welcom board
202,Cluster 1,welcome,welcom
203,Cluster 1,welcome board faith,welcom board faith
204,Cluster 1,welcome,welcom
205,Cluster 1,welcome platform,welcom platform
206,Cluster 1,welcome,welcom
207,Cluster 1,welcome,welcom
208,Cluster 1,welcome,welcom
209,Cluster 1,welcome group,welcom group
210,Cluster 1,welcome board,welcom board
211,Cluster 1,welcome,welcom
212,Cluster 1,welcome group,welcom group
213,Cluster 1,welcome,welcom
214,Cluster 1,welcome sir,welcom sir
215,Cluster 1,welcome,welcom
216,Cluster 1,welcome board basil,welcom board basil
217,Cluster 1,welcome,welcom
218,Cluster 1,welcome board,welcom board
